ID,rc,Meaning
Hungarian-150-Sippe-1,^(a) (ɡ|k) ?(ɛ r|a n|γ|ɯ|u|ɛ n|u z|m|o|i ʃ|y|i|i l|i r|ʃ|ɛ γ|n|t|v|j|r ɯ n|a γ|y n)?$,Sippe
Hungarian-151-Parentel-1,^(a) (ɡ|k) ?(ɛ r|a n|γ|ɯ|u|ɛ n|u z|m|o|i ʃ|y|i|i l|i r|ʃ|ɛ γ|n|t|v|j|r ɯ n|a γ|y n)?$,Parentel
Hungarian-152-herausragenderTeilvonetw-1,^(a) (ɡ|k) ?(ɛ r|a n|γ|ɯ|u|ɛ n|u z|m|o|i ʃ|y|i|i l|i r|ʃ|ɛ γ|n|t|v|j|r ɯ n|a γ|y n)?$,herausragender Teil von etw
Hungarian-153-Arm-1,^(a) (ɡ|k) ?(ɛ r|a n|γ|ɯ|u|ɛ n|u z|m|o|i ʃ|y|i|i l|i r|ʃ|ɛ γ|n|t|v|j|r ɯ n|a γ|y n)?$,Arm
Hungarian-154-TeileinerBegriffsklasse-1,^(a) (ɡ|k) ?(ɛ r|a n|γ|ɯ|u|ɛ n|u z|m|o|i ʃ|y|i|i l|i r|ʃ|ɛ γ|n|t|v|j|r ɯ n|a γ|y n)?$,Teil einer Begriffsklasse
Hungarian-155-abzweigen-1,^(a) (ɡ|k) ?(ɛ r|a n|γ|ɯ|u|ɛ n|u z|m|o|i ʃ|y|i|i l|i r|ʃ|ɛ γ|n|t|v|j|r ɯ n|a γ|y n)?$,abzweigen
Hungarian-156-AgaehemaligerturkischerOffiziersrang-1,#ɒ not old,Aga ehemaliger türkischer Offiziersrang
Hungarian-157-prozessieren-1,^(a) (ɡ|n|γ) (a|ɯ|aː) (l|γ) ?(ɛ r|a n|γ|ɯ|u)?$,prozessieren
Hungarian-158-auffuhren-1,^(a) (ɡ|n|γ) (a|ɯ|aː) (l|γ) ?(ɛ r|a n|γ|ɯ|u)?$,aufführen
Hungarian-159-eineRolledarstellen-1,^(a) (ɡ|n|γ) (a|ɯ|aː) (l|γ) ?(ɛ r|a n|γ|ɯ|u)?$,eine Rolle darstellen
Hungarian-160-eineSacheerledigen-1,^(a) (ɡ|n|γ) (a|ɯ|aː) (l|γ) ?(ɛ r|a n|γ|ɯ|u)?$,eine Sache erledigen
Hungarian-161-heftiggestikulierendreden-1,^(a) (ɡ|n|γ) (a|ɯ|aː) (l|γ) ?(ɛ r|a n|γ|ɯ|u)?$,heftig gestikulierend reden
Hungarian-162-Rechtspraxisausuben-1,^(a) (ɡ|n|γ) (a|ɯ|aː) (l|γ) ?(ɛ r|a n|γ|ɯ|u)?$,Rechtspraxis ausüben
Hungarian-163-grotun-1,^(a) (ɡ|n|γ) (a|ɯ|aː) (l|γ) ?(ɛ r|a n|γ|ɯ|u)?$,großtun
Hungarian-164-prahlen-1,^(a) (ɡ|n|γ) (a|ɯ|aː) (l|γ) ?(ɛ r|a n|γ|ɯ|u)?$,prahlen
Hungarian-165-Hirschgeweih-1,wrong year,Hirschgeweih
Hungarian-166-hakenformigesWerkzeug-1,wrong year,hakenförmiges Werkzeug
Hungarian-167-Hirschtier-1,wrong year,Hirschtier
Hungarian-168-Windhund-1,#ɒ not old,Windhund
Hungarian-169-magererMensch-1,#ɒ not old,magerer Mensch
Hungarian-170-Windhundpfleger-1,#ɒ not old,Windhundpfleger
Hungarian-171-sichaufwartsbaumen-1,ʃ.k not old,sich aufwärts bäumen
Hungarian-172-aufdenZehenspitzenstehen-1,ʃ.k not old,auf den Zehenspitzen stehen
Hungarian-173-indieHohestreben-1,ʃ.k not old,in die Höhe streben
Hungarian-174-Sippe-2,ɡ.b not old,Sippe
Hungarian-175-Gezweige-1,ɡ.b not old,Gezweige
Hungarian-176-Lode-1,ɡ.b not old,Lode
Hungarian-177-Wassertrieb-1,ɡ.b not old,Wassertrieb
Hungarian-178-Verwandtschaft-1,ɡ.b not old,Verwandtschaft
Hungarian-179-dasUmundAufeinerSache-1,ɡ.b not old,das Um und Auf einer Sache
Hungarian-180-Ritus-1,^(a) (ɡ|n|γ) (ɛ|i|y|ø|ɛ.y) (n.d|l.d) (a) ?(ɛ r|a n|γ)?$,Ritus
Hungarian-181-Ritual-1,^(a) (ɡ|n|γ) (ɛ|i|y|ø|ɛ.y) (n.d|l.d) (a) ?(ɛ r|a n|γ)?$,Ritual
