ID,Local_ID,Language_ID,Parameter_ID,Value,Form,Segments,Comment,Source,Cognacy,Loan,Graphemes,Profile,Meaning,Sense_ID,Entry_ID
Gothic-312-stuhl-1,183,Gothic,312-stuhl,stols,stols,s t o l s,,557564,,,^ stols $,default,Stuhl;  Thron,Stuhl-1,2785-stols
Gothic-409-buchstabe-1,186,Gothic,409-buchstabe,boka,boka,b o k a,,557564,,,^ boka $,default,Buchstabe,Buchstabe-1,550-boka
Gothic-8-wange-1,189,Gothic,8-wange,kinnus,kinnus,k ɪ nː u s,,557564,,,^ kinnus $,default,Wange,Wange-1,1715-kinnus
Gothic-24-brust-1,190,Gothic,24-brust,brusts,brusts,b r u s t s,,557564,,,^ brusts $,default,Brust,Brust-1,577-brusts
Gothic-888-wahlen-1,195,Gothic,888-wahlen,waljan,waljan,w a l j a n,,557564,,,^ waljan $,default,wählen,wahlen-1,3436-waljan
Gothic-414-kirche-1,197,Gothic,414-kirche,aikklesjo,aikklesjo,ɛ kː l e s j o,,557564,,,^ aikklesjo $,default,Gemeinde;  Kirche;  Gotteshaus,Kirche-1,94-aikklesjo
Gothic-190-lehm-1,200,Gothic,190-lehm,þāho,þaho,θ a h o,,557564,,,^ þaho $,default,Lehm,Lehm-1,3003-aho
Gothic-968-reinigen-1,202,Gothic,968-reinigen,hrainjan,hrainjan,h r ɛ n j a n,,557564,,,^ hrainjan $,default,reinigen,reinigen-1,1431-hrainjan
Gothic-968-reinigen-2,203,Gothic,968-reinigen,ga-hrainjan,gahrainjan,ɡ a h r ɛ n j a n,,557564,,,^ gahrainjan $,default,reinigen,reinigen-2,1433-gahrainjan
Gothic-548-klug-1,204,Gothic,548-klug,froþs,froþs,ɸ r o θ s,,557564,,,^ froþs $,default,verständig; klug,klug-1,907-fros
Gothic-548-klug-2,205,Gothic,548-klug,handugs,handugs,h a n d u ɣ s,,557564,,,^ handugs $,default,klug; weise,klug-2,1303-handugs
Gothic-371-kleidung-1,209,Gothic,371-kleidung,gafeteins,gafeteins,ɡ a ɸ e t i n s,,557564,,,^ gafeteins $,default,Kleidung,Kleidung-1,975-gafeteins
Gothic-75-wolke-1,210,Gothic,75-wolke,milhma,milhma,m ɪ l h m a,,557564,,,^ milhma $,default,Wolke,Wolke-1,2087-milhma
Gothic-188-kohle-1,211,Gothic,188-kohle,hauri,hauri,h ɔ r ɪ,,557564,,,^ hauri $,default,Kohle,Kohle-1,1337-hauri
Gothic-504-kalt-1,213,Gothic,504-kalt,kalds,kalds,k a l d s,,557564,,,^ kalds $,default,kalt,kalt-1,1670-kalds
Gothic-779-kommen-1,220,Gothic,779-kommen,ana-gaggan,anagaggan,a n a ɣ a ŋ ɡ a n,,557564,,,^ anagaggan $,default,kommen,kommen-1,986-anagaggan
Gothic-779-kommen-2,223,Gothic,779-kommen,qiman,qiman,kʷ ɪ m a n,,557564,,,^ qiman $,default,kommen,kommen-4,2290-qiman
Gothic-903-loben-1,227,Gothic,903-loben,hazjan,hazjan,h a z j a n,,557564,,,^ hazjan $,default,loben;  preisen wegen,loben-1,1349-hazjan
Gothic-826-verbinden-1,230,Gothic,826-verbinden,faur-waipjan,faurwaipjan,ɸ ɔ r w ɛ p j a n,,557564,,,^ faurwaipjan $,default,verbinden,verbinden-2,3401-faurwaipjan
Gothic-826-verbinden-2,231,Gothic,826-verbinden,ga-widan,gawidan,ɡ a w ɪ ð a n,,557564,,,^ gawidan $,default,verbinden; zusammenbinden,verbinden-3,3533-gawidan
Gothic-225-gesprach-1,232,Gothic,225-gesprach,gawaurdi,gawaurdi,ɡ a w ɔ r d ɪ,,557564,,,^ gawaurdi $,default,Gespräch,Gesprach-1,1146-gawaurdi
Gothic-274-ecke-1,235,Gothic,274-ecke,waihsta,waihsta,w ɛ h s t a,,557564,,,^ waihsta $,default,Winkel;  Ecke,Ecke-1,3388-waihsta
Gothic-560-richtig-1,236,Gothic,560-richtig,raihtaba,raihtaba,r ɛ h t a β a,,557564,,,^ raihtaba $,default,recht;  richtig,richtig-1,2343-raihtaba
Gothic-1004-zahlen-1,238,Gothic,1004-zahlen,ga-raþjan,garaþjan,ɡ a r a θ j a n,,557564,,,^ garaþjan $,default,zählen,zahlen-1,2350-garajan
