ID,Local_ID,Language_ID,Parameter_ID,Value,Form,Segments,Comment,Source,Cognacy,Loan,Graphemes,Profile,Orthography,CV_Segments,ProsodicStructure,FB_Segments,FB_Vowel_Harmony,Year
H-14_todecayputrifyturnstale-1,,H,14_todecayputrifyturnstale,āporodik,āporodik,aː p o r o d i k,,wot,15,true,^ āporodik $,default,áporodik,aː p o r o d i k,VCVCVCVC,aː p B r B d F k,False,1588
EAH-14_todecayputrifyturnstale-1,,EAH,14_todecayputrifyturnstale,oporo,oporo,o p o r o,,wot,15,true,^ oporo $,default,,o p o r o,VCVCV,B p B r B,True,1588
WOT-14_todecayputrifyturnstale-1,,WOT,14_todecayputrifyturnstale,opura,opura,o p u r a,,wot,15,false,^ opura $,default,,o p u r a,VCVCV,B p B r a,True,1588
H-15_smalltiny-1,,H,15_smalltiny,åprō,åprō,ɒ p r oː,,wot,16,true,^ åprō $,default,apró,ɒ p.r oː,VCCV,B p r B,True,1145
OH-15_smalltiny-1,,OH,15_smalltiny,oprau̯,oprau̯,o p r a w,,wot,16,true,^ oprau̯ $,default,,o p.r a w,VCCVC,B p r a w,True,1145
EAH-15_smalltiny-1,,EAH,15_smalltiny,opuruγ,opuruγ,o p u r u ɣ,,wot,16,true,^ opuruγ $,default,,o p u r u ɣ,VCVCVC,B p B r B ɣ,True,1145
WOT-15_smalltiny-1,,WOT,15_smalltiny,opuruγ,opuruγ,o p u r u ɣ,,wot,16,false,^ opuruγ $,default,,o p u r u ɣ,VCVCVC,B p B r B ɣ,True,1145
H-17_tomow-1,,H,17_tomow,åråt,åråt,ɒ r ɒ t,,wot,17,true,^ åråt $,default,arat,ɒ r ɒ t,VCVC,B r B t,True,1211
EAH-17_tomow-1,,EAH,17_tomow,orat,orat,o r a t,,wot,17,true,^ orat $,default,,o r a t,VCVC,B r a t,True,1211
WOT-17_tomow-1,,WOT,17_tomow,orat,orat,o r a t,,wot,17,true,^ orat $,default,,o r a t,VCVC,B r a t,True,1211
H-17_tomow-2,,H,17_tomow,åråt,åråt,ɒ r ɒ t,,wot,18,true,^ åråt $,default,arat,ɒ r ɒ t,VCVC,B r B t,True,1211
EAH-17_tomow-2,,EAH,17_tomow,orat,orat,o r a t,,wot,18,true,^ orat $,default,,o r a t,VCVC,B r a t,True,1211
WOT-17_tomow-2,,WOT,17_tomow,or,or,o r,,wot,18,true,^ or $,default,,o r,VC,B r,True,1211
H-18_todecayputrefygobadoffoodwater-1,,H,18_todecayputrefygobadoffoodwater,ārik,ārik,aː r i k,,wot,19,true,^ ārik $,default,árik,aː r i k,VCVC,aː r F k,True,1878
EAH-18_todecayputrefygobadoffoodwater-1,,EAH,18_todecayputrefygobadoffoodwater,ār,ār,aː r,,wot,19,true,^ ār $,default,,aː r,VC,aː r,True,1878
WOT-18_todecayputrefygobadoffoodwater-1,,WOT,18_todecayputrefygobadoffoodwater,ar,ar,a r,,wot,19,false,^ ar $,default,,a r,VC,a r,True,1878
H-19_toharm-1,,H,19_toharm,ārt,ārt,aː r t,,wot,20,true,^ ārt $,default,árt,aː r.t,VCC,aː r t,True,1315
EAH-19_toharm-1,,EAH,19_toharm,ārtat,ārtat,aː r t a t,,wot,20,true,^ ārtat $,default,,aː r.t a t,VCCVC,aː r t a t,True,1315
WOT-19_toharm-1,,WOT,19_toharm,artat,artat,a r t a t,,wot,20,false,^ artat $,default,,a r.t a t,VCCVC,a r t a t,True,1315
H-20_atypeoflasso-1,,H,20_atypeoflasso,ārkāń,ārkāń,aː r k aː ɲ,,wot,21,true,^ ārkāń $,default,árkány,aː r.k aː ɲ,VCCVC,aː r k aː ɲ,True,1789
EAH-20_atypeoflasso-1,,EAH,20_atypeoflasso,arkan,arkan,a r k a n,,wot,21,true,^ arkan $,default,,a r.k a n,VCCVC,a r k a n,True,1789
H-21_ditchcanal-1,,H,21_ditchcanal,ārok,ārok,aː r o k,,wot,22,true,^ ārok $,default,árok,aː r o k,VCVC,aː r B k,True,1009
EAH-21_ditchcanal-1,,EAH,21_ditchcanal,āruk,āruk,aː r u k,,wot,22,true,^ āruk $,default,,aː r u k,VCVC,aː r B k,True,1009
WOT-21_ditchcanal-1,,WOT,21_ditchcanal,aruk,aruk,a r u k,,wot,22,true,^ aruk $,default,,a r u k,VCVC,a r B k,True,1009
H-22_barleyhordeum-1,,H,22_barleyhordeum,ārpå,ārpå,aː r p ɒ,,wot,23,true,^ ārpå $,default,árpa,aː r.p ɒ,VCCV,aː r p B,True,950
EAH-22_barleyhordeum-1,,EAH,22_barleyhordeum,arpa,arpa,a r p a,,wot,23,true,^ arpa $,default,,a r.p a,VCCV,a r p a,True,950
WOT-22_barleyhordeum-1,,WOT,22_barleyhordeum,arpa,arpa,a r p a,,wot,23,false,^ arpa $,default,,a r.p a,VCCV,a r p a,True,950
H-23_barrow-1,,H,23_barrow,ārtāń,ārtāń,aː r t aː ɲ,,wot,24,true,^ ārtāń $,default,ártány,aː r.t aː ɲ,VCCVC,aː r t aː ɲ,True,1075
EAH-23_barrow-1,,EAH,23_barrow,aritan,aritan,a r i t a n,,wot,24,true,^ aritan $,default,,a r i t a n,VCVCVC,a r F t a n,True,1075
WOT-23_barrow-1,,WOT,23_barrow,arïtan,arïtan,a r ɯ t a n,,wot,24,true,^ arïtan $,default,,a r ɯ t a n,VCVCVC,a r B t a n,True,1075
H-24_gauntrygantryforsupportingbarrels-1,,H,24_gauntrygantryforsupportingbarrels,āsok,āsok,aː s o k,,wot,25,true,^ āsok $,default,ászok,aː s o k,VCVC,aː s B k,True,1480
OH-24_gauntrygantryforsupportingbarrels-1,,OH,24_gauntrygantryforsupportingbarrels,ask,ask,a s k,,wot,25,true,^ ask $,default,,a s.k,VCC,a s k,True,1480
EAH-24_gauntrygantryforsupportingbarrels-1,,EAH,24_gauntrygantryforsupportingbarrels,aski,aski,a s k i,,wot,25,true,^ aski $,default,,a s.k i,VCCV,a s k F,True,1480
WOT-24_gauntrygantryforsupportingbarrels-1,,WOT,24_gauntrygantryforsupportingbarrels,askï,askï,a s k ɯ,,wot,25,false,^ askï $,default,,a s.k ɯ,VCCV,a s k B,True,1480
H-25_charm-1,,H,25_charm,bāy,bāy,b aː j,"The entry ""bűbáj"" on p. 190 is omitted from the dataset because compounding (""bű+báj"") happened only in Hungarian. Therefore, there is no counterpart to be aligned with in West Old Turkic. For the etymology of ""bű"" one is supposed to look up ""bűvös"" or ""bölcs"". The former seems to be lacking from the dictionary, and the latter doesn't explain the etymology of ""bű"".",wot,26,true,^ bāy $,default,báj,b aː j,CVC,b aː j,True,1395
